title,url,verified,type
informaticien cfc suisse,www.orientation.ch/dyn/show/1900?id=152,TRUE,apprentissage
école techniques des métiers de Lausanne,https://www.etml.ch/formation/em/informaticien%C2%B7ne,TRUE,école professionelle
école des métiers Fribourg,https://emf.ch/formation/informaticien-ne-cfc,TRUE,école professionelle
centre professionel du Nord Vaudois,https://www.cpnv.ch/formations/ecole-metiers/informaticien/,TRUE,école professionelle
université de fribourg,www.unifr.ch/inf/fr/informatique,TRUE,université
informatique de gestion université de fribourg,www.unifr.ch/inf/fr/informatique-de-gestion,TRUE,université
informatique université de genève,www.unige.ch/dinfo/formations/bachelor,TRUE,université
swisscom,https://www.swisscom.ch/fr/about/carriere/formation-professionnelle-etudes/lehrstellen.html,TRUE,apprentissage
groupe mutuel,https://job.groupemutuel.ch/fr/vos-opportunites.html,TRUE,apprentissage
infomaniak,https://www.infomaniak.com/fr/a-propos/carriere/stage-et-apprentissage,TRUE,apprentissage
bcv,https://www.bcv.ch/fr/home/la-bcv/carrieres/commencer-votre-carriere/apprentissages.html#parcours,TRUE,apprentissage
etat de vaud apprentissage exploitation et infrastructure,https://www.jobup.ch/fr/emplois/detail/603cdc90-f7ad-46ec-a337-254c964f89fe/?source=b2b_preview,TRUE,apprentissage
état de Vaud apprentissage développement d'applications,https://www.jobup.ch/fr/emplois/detail/8891e237-0d45-4975-8d81-4cb4823df148/?source=b2b_preview,TRUE,apprentissage
haute école spécialisée de suisse occidentale sion apprentissage en informatique,https://www.jobup.ch/fr/emplois/?term=apprenti%20informatique&jobid=05a50179-ff13-408d-b8d3-9fd3fdbea070,TRUE,apprentissage
liebherr,https://www.jobup.ch/fr/emplois/?employment-type=6&term=apprenti%20informatique&jobid=16305bbb-109b-4765-b7e3-2cd801ea72d0,TRUE,apprentissage
transport public fribourgeois (TPF),https://www.jobup.ch/fr/emplois/?employment-type=6&page=2&term=apprenti%20informatique&jobid=8d035616-b3c1-463a-bf77-3efd21cb3849,TRUE,apprentissage
vaudoise,https://www.vaudoise.ch/fr/carrieres/travailler-a-la-vaudoise/etudiants-apprenants/un-apprentissage-sur-mesure,TRUE,apprentissage
42 lausanne,https://42lausanne.ch/piscine-42-lausanne/,TRUE,formation continue
haute école spécialisée de suisse occidentale sion,https://www.hevs.ch/fr/hautes-ecoles/haute-ecole-d-ingenierie/informatique-et-systemes-de-communication/bachelor-en-informatique-et-systemes-de-communication-201140,TRUE,haute école spécialisée
haute école d'ingénierie et de gestion du canton de vaud informatique logiciel,https://heig-vd.ch/formation/bachelor/informatique-et-systemes-de-communication/informatique-logicielle/,TRUE,haute école spécialisée
haute école d'ingénierie et de gestion du canton de vaud réseaux et systèmes,https://heig-vd.ch/formation/bachelor/informatique-et-systemes-de-communication/reseaux-et-systemes/,TRUE,haute école spécialisée
"Haute école du paysage, d'ingénierie et d'architecture de Genève informatique et systèmes de communication",https://www.hesge.ch/hepia/bachelor/informatique-et-systemes-communication,TRUE,haute école spécialisée
haute école d'ingénierie et d'architecture fribourg,https://www.heia-fr.ch/fr/formation/bachelor/informatique-et-systemes-de-communication/,TRUE,haute école spécialisée
haute école Arc informatique et systèmes de communication,https://www.he-arc.ch/ingenierie/bachelor/informatique-et-systemes-de-communication/,TRUE,haute école spécialisée
école polytechnique fédérale de lausanne ,https://www.epfl.ch/education/bachelor/fr/programmes/informatique/,TRUE,université
